sigma,seed,agent,cost,harm,effort,w_mean,g_mean,floor_frac
0.0,0,R,0.04483244296530671,0.03798422115610971,0.06848221809197004,nan,nan,nan
0.0,1,R,0.041145828975504506,0.034634011473765124,0.06511817501739382,nan,nan,nan
0.0,2,R,0.03986176818591134,0.033490226715996954,0.06371541469914387,nan,nan,nan
0.0,3,R,0.04495909504809696,0.038462952016899435,0.0649614303119753,nan,nan,nan
0.0,4,R,0.05042596460707471,0.04364988172357114,0.06776082883503563,nan,nan,nan
0.0,5,R,0.03812105870022789,0.03182442481522021,0.06296633885007683,nan,nan,nan
0.0,6,R,0.027869493728371254,0.022249117766953735,0.05620375961417519,nan,nan,nan
0.0,7,R,0.037164715536556585,0.031203520822968903,0.05961194713587678,nan,nan,nan
0.0,8,R,0.027577437490985415,0.021590289360321337,0.059871481306640766,nan,nan,nan
0.0,9,R,0.05260628970114343,0.04580240684958923,0.06803882851554198,nan,nan,nan
0.0,10,R,0.05067620214350274,0.04389321438924065,0.0678298775426209,nan,nan,nan
0.0,11,R,0.04027127474881056,0.033777125630780974,0.06494149118029581,nan,nan,nan
0.0,12,R,0.027399494615225697,0.0216830124924901,0.057164821227355986,nan,nan,nan
0.0,13,R,0.05099587425415718,0.04429101526199222,0.06704858992164953,nan,nan,nan
0.0,14,R,0.052816308102548455,0.04562121411189365,0.07195093990654809,nan,nan,nan
0.0,15,R,0.05707777344859655,0.05015830002349357,0.06919473425102977,nan,nan,nan
0.0,16,R,0.03961635221512756,0.03339179746509815,0.06224554750029415,nan,nan,nan
0.0,17,R,0.0475937136367703,0.04118537334776854,0.0640834028900176,nan,nan,nan
0.0,18,R,0.05040803612579068,0.04346635497850177,0.06941681147288908,nan,nan,nan
0.0,19,R,0.04232884562591614,0.035782909561117265,0.0654593606479888,nan,nan,nan
0.0,20,R,0.05551970095641656,0.04878146359376114,0.06738237362655423,nan,nan,nan
0.0,21,R,0.04113496791265125,0.034680287046359656,0.0645468086629159,nan,nan,nan
0.0,22,R,0.03986422594078809,0.033927718851900365,0.05936507088887725,nan,nan,nan
0.0,23,R,0.030004476349638272,0.02445776719614839,0.0554670915348988,nan,nan,nan
0.0,24,R,0.04347500193405997,0.03692185892306394,0.0655314301099603,nan,nan,nan
